Train.Red Export for,Session at 3/18/2026 12:33 PM
-------------------------------------------------------------
Measurement Date,2026-03-18T12:33:11.751487
Type,free
Sport,strength
Focus,perform
Number of Sensors,1
Samples,10241
Measurement Duration,17:04
Distance,0 m
MSS Avg,3.00
TSI Min,51.02
TSI Max,101.66
TSI Avg,70.50

Muscle states
Rest,05:58
Easy,05:03
Medi,04:04
Hard,00:00
Load,01:57



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1258
Mac Address,DCC48916-4672-04F7-A0DB-519724C43DEA
Firmware Version,
Sensor Position,quadVLRight
Initial TSI,71.30
Initial HBDiff,31.44
Initial o2Hb,36.44
Initial HHb,5.42
Tsi Var,25.0
Filter Id,1
MSS Avg,3
TSI Min,51.02
TSI Max,101.66
TSI Avg,70.50
,,,Train.Red FYER 1258,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,71.38,31.76,0,2,71.94,4.48,1.56,47.90,33.94
0.09,0,,71.59,32.67,0,2,71.77,4.47,1.47,47.80,34.02
0.15,0,,71.78,33.62,0,2,71.95,4.47,1.41,47.74,34.08
0.24,0,,71.82,34.11,0,2,71.35,4.55,1.52,47.93,34.05
0.33,0,,71.76,34.22,0,2,72.12,4.64,1.57,48.07,34.09
0.45,0,,71.81,34.20,0,2,71.96,4.79,1.54,48.19,34.27
0.57,0,,71.88,34.22,0,2,71.64,4.84,1.46,48.16,34.40
0.63,0,,71.84,34.31,0,2,71.87,4.85,1.43,48.14,34.44
0.75,0,,71.80,34.40,0,2,71.77,4.91,1.45,48.22,34.48
0.84,0,,71.81,34.46,0,2,71.93,4.98,1.50,48.34,34.50
0.93,0,,71.84,34.51,0,1,71.80,5.18,1.60,48.64,34.60
1.08,0,,71.87,34.56,1,0,71.97,5.24,1.62,48.72,34.64
1.17,0,,71.88,34.59,0,1,71.75,5.12,1.61,48.59,34.53
1.23,0,,71.88,34.59,0,1,72.01,5.12,1.56,48.54,34.58
1.35,0,,71.90,34.57,1,0,71.91,5.15,1.59,48.60,34.58
1.44,0,,71.91,34.57,0,1,71.83,5.21,1.64,48.71,34.59
1.59,0,,71.92,34.59,0,1,72.14,5.34,1.67,48.87,34.69
1.65,0,,71.99,34.62,0,1,72.10,5.30,1.68,48.84,34.64
1.77,0,,72.10,34.62,0,1,72.34,5.10,1.68,48.64,34.44
1.83,0,,72.19,34.55,0,2,72.11,5.17,1.71,48.74,34.48
1.92,0,,72.21,34.51,0,1,72.12,5.39,1.75,49.00,34.66
2.07,0,,72.13,34.55,0,1,71.91,5.43,1.81,49.10,34.64
2.13,0,,72.03,34.59,0,1,71.93,5.38,1.84,49.08,34.56
2.22,0,,71.99,34.55,0,1,72.30,4.87,1.71,48.44,34.18
2.34,0,,72.11,34.33,0,1,72.41,4.12,1.45,47.43,33.69
2.43,0,,72.16,33.94,0,1,71.47,3.49,1.23,46.58,33.28
2.52,0,,71.97,33.43,0,1,71.71,2.32,0.88,45.06,32.46
2.64,0,,71.77,32.77,2,-1,71.89,0.77,0.24,42.87,31.55
2.73,0,,71.73,31.94,4,-2,71.68,-1.13,-0.67,40.06,30.56
2.82,0,,71.72,31.06,4,-2,71.71,-1.78,-0.95,39.13,30.19
2.94,0,,71.66,30.45,4,-2,71.35,-0.94,-0.38,40.54,30.46
3.09,0,,71.54,30.14,4,-2,71.47,-3.00,-1.61,37.25,29.63
3.12,0,,71.47,29.87,4,-2,71.59,-4.40,-2.81,34.65,29.43
3.27,0,,71.54,29.74,4,-2,71.89,-1.94,-1.46,38.46,30.54
3.33,0,,71.69,30.06,4,-2,71.81,0.02,-0.15,41.73,31.19
3.42,0,,71.81,30.71,2,-1,71.86,0.92,0.29,43.07,31.65
3.57,0,,71.85,31.29,2,-1,71.78,0.74,0.32,42.92,31.44
3.63,0,,71.83,31.55,0,1,71.73,0.32,-0.05,42.13,31.39
3.72,0,,71.73,31.58,0,1,71.42,0.83,0.18,42.87,31.67
3.84,0,,71.66,31.45,0,1,71.97,-0.58,-0.11,41.17,30.55
3.93,0,,71.66,30.92,0,1,71.46,-2.94,-1.16,37.76,29.24
4.02,0,,71.61,30.01,0,1,71.36,-3.74,-1.56,36.56,28.84
4.14,0,,71.46,29.13,2,-1,71.25,-4.92,-2.16,34.78,28.26
4.23,0,,71.34,28.38,2,-1,71.34,-7.20,-3.47,31.19,27.29
4.35,0,,71.23,27.86,2,-1,70.84,-4.98,-2.23,34.65,28.27
4.44,0,,71.06,28.00,4,-2,70.85,-1.22,-0.03,40.61,29.83
4.59,0,,70.99,28.69,4,-2,71.47,-2.91,-0.90,38.05,29.01
4.62,0,,71.07,29.16,4,-2,70.94,-2.98,-1.08,37.80,29.12
4.74,0,,71.15,29.26,4,-2,71.42,-2.41,-0.61,38.84,29.22
4.83,0,,71.23,29.13,4,-2,71.26,-3.96,-1.22,36.68,28.28
4.92,0,,71.23,28.69,4,-2,70.78,-4.92,-1.62,35.32,27.72
5.10,0,,71.07,27.95,4,-2,70.92,-7.63,-2.92,31.31,26.31
5.13,0,,71.01,27.02,4,-2,71.48,-9.46,-4.33,28.07,25.89
5.22,0,,71.04,26.43,2,-1,70.49,-6.40,-2.83,32.63,27.45
5.34,0,,70.88,26.70,2,-1,70.43,-3.53,-0.77,37.56,28.26
5.43,0,,70.70,27.47,2,-1,71.11,-4.28,-1.44,36.14,28.18
5.52,0,,70.70,28.10,4,-2,70.55,-3.80,-1.23,36.83,28.45
5.64,0,,70.70,28.34,4,-2,70.59,-3.94,-0.83,37.09,27.91
5.73,0,,70.68,28.14,4,-2,70.94,-5.64,-1.70,34.52,27.08
5.82,0,,70.74,27.49,4,-2,70.70,-8.27,-3.16,30.43,25.91
5.94,0,,70.75,26.61,4,-2,70.61,-9.27,-3.96,28.63,25.71
6.09,0,,70.64,26.14,4,-2,70.24,-5.78,-2.18,33.90,27.42
6.12,0,,70.48,26.51,4,-2,70.48,-4.17,-0.96,36.73,27.81
6.24,0,,70.34,27.18,4,-2,70.02,-5.10,-1.49,35.27,27.41
6.33,0,,70.20,27.57,4,-2,70.09,-4.68,-1.30,35.88,27.64
6.42,0,,70.14,27.60,4,-2,70.44,-5.67,-1.70,34.49,27.05
6.57,0,,70.29,27.20,4,-2,70.84,-8.48,-3.02,30.36,25.56
6.63,0,,70.48,26.31,4,-2,70.21,-10.44,-4.13,27.29,24.71
6.72,0,,70.41,25.58,4,-2,69.77,-7.14,-2.66,32.06,26.54
6.84,0,,70.22,25.76,4,-2,70.57,-4.45,-0.86,36.55,27.43
6.93,0,,70.19,26.44,4,-2,70.16,-6.19,-1.66,34.01,26.49
7.08,0,,70.22,26.83,4,-2,70.14,-5.83,-1.71,34.32,26.90
7.14,0,,70.17,26.83,4,-2,70.00,-6.66,-1.91,33.29,26.27
7.23,0,,70.17,26.44,4,-2,70.63,-9.64,-3.52,28.70,24.90
7.35,0,,70.21,25.64,4,-2,69.74,-11.16,-4.59,26.11,24.45
7.44,0,,70.06,25.12,4,-2,69.51,-7.42,-2.83,31.61,26.43
7.59,0,,69.86,25.52,4,-2,70.23,-4.70,-1.04,36.12,27.36
7.65,0,,69.91,26.31,4,-2,70.29,-7.02,-2.14,32.70,26.14
7.74,0,,69.99,26.64,4,-2,69.36,-6.48,-1.94,33.44,26.48
7.83,0,,69.88,26.43,4,-2,69.91,-8.13,-2.32,31.41,25.21
7.95,0,,69.79,25.74,4,-2,69.89,-11.25,-4.27,26.34,24.04
8.07,0,,69.81,24.90,4,-2,69.85,-10.35,-4.06,27.45,24.73
8.13,0,,69.84,24.62,4,-2,69.79,-6.93,-1.62,33.31,25.71
8.25,0,,69.80,25.03,4,-2,69.60,-5.77,-0.87,35.22,26.12
8.34,0,,69.68,25.63,4,-2,69.35,-6.71,-1.58,33.57,25.89
8.43,0,,69.59,25.85,4,-2,69.97,-7.70,-1.81,32.35,25.13
