Train.Red Export for,Antoine wingate 3/18/2026
-------------------------------------------------------------
Measurement Date,2026-03-18T11:45:10.740281
Type,free
Sport,strength
Focus,perform
Number of Sensors,1
Samples,9509
Measurement Duration,17:37
Distance,0 m
MSS Avg,2.00
TSI Min,-2.07
TSI Max,102.97
TSI Avg,78.62

Muscle states
Rest,06:25
Easy,02:02
Medi,03:12
Hard,00:27
Load,05:29



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1200
Mac Address,401CBAC2-3687-9693-28FD-4757A30B0EA3
Firmware Version,
Sensor Position,quadVLRight
Initial TSI,80.71
Initial HBDiff,18.25
Initial o2Hb,18.82
Initial HHb,0.15
Tsi Var,35.0
Filter Id,1
MSS Avg,2
TSI Min,-2.07
TSI Max,102.97
TSI Avg,78.62
,,,Train.Red FYER 1200,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,80.79,18.29,0,2,81.35,-0.42,-0.38,18.17,18.63
0.09,0,,81.08,18.43,0,2,81.79,-0.42,-0.38,18.17,18.63
0.21,0,,81.39,18.57,0,2,81.18,-0.49,-0.40,18.08,18.58
0.30,0,,81.48,18.63,0,2,81.43,-0.47,-0.45,18.05,18.65
0.39,0,,81.39,18.64,0,2,80.99,-0.48,-0.39,18.10,18.58
0.51,0,,81.26,18.62,0,2,81.34,-0.45,-0.36,18.16,18.58
0.60,0,,81.33,18.62,0,2,82.17,-0.38,-0.42,18.17,18.71
0.69,0,,81.67,18.66,0,2,82.11,-0.36,-0.46,18.15,18.77
0.81,0,,81.93,18.71,0,2,81.56,-0.44,-0.44,18.09,18.67
0.93,0,,81.88,18.71,0,2,81.61,-0.48,-0.43,18.06,18.62
0.99,0,,81.71,18.68,0,2,81.54,-0.46,-0.44,18.07,18.65
1.11,0,,81.52,18.63,0,2,81.00,-0.64,-0.44,17.89,18.47
1.20,0,,81.24,18.53,0,1,80.82,-0.84,-0.44,17.69,18.27
1.29,0,,81.00,18.39,2,-1,81.06,-0.86,-0.42,17.69,18.23
1.44,0,,80.88,18.30,4,-2,80.66,-0.72,-0.42,17.83,18.37
1.50,0,,80.76,18.32,4,-2,80.47,-0.57,-0.50,17.90,18.60
1.59,0,,80.81,18.48,4,-2,82.07,-0.48,-0.63,17.86,18.82
1.71,0,,81.26,18.73,4,-2,81.95,-0.15,-0.68,18.14,19.20
1.80,0,,81.62,19.03,4,-2,80.86,0.27,-0.53,18.71,19.47
1.89,0,,81.56,19.32,1,0,81.62,0.55,-0.29,19.23,19.51
2.01,0,,81.50,19.51,1,0,81.79,0.74,-0.18,19.53,19.59
2.10,0,,81.61,19.59,0,1,81.79,0.74,-0.13,19.58,19.54
2.19,0,,81.71,19.56,0,2,81.59,0.69,0.01,19.67,19.35
2.31,0,,81.52,19.45,0,2,80.20,0.68,0.14,19.79,19.21
2.43,0,,80.93,19.29,0,2,79.98,0.71,0.31,19.99,19.07
2.49,0,,80.37,19.14,4,-2,80.50,0.81,0.45,20.23,19.03
2.61,0,,80.22,19.05,4,-2,80.53,0.77,0.40,20.14,19.04
