Train.Red Export for,Enzo Wingate 3/18/2026
-------------------------------------------------------------
Measurement Date,2026-03-18T11:21:52.190265
Type,free
Sport,strength
Focus,perform
Number of Sensors,1
Samples,11847
Measurement Duration,19:44
Distance,0 m
MSS Avg,1.00
TSI Min,56.99
TSI Max,70.65
TSI Avg,67.99

Muscle states
Rest,05:43
Easy,08:22
Medi,04:14
Hard,00:00
Load,01:23



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1258
Mac Address,DCC48916-4672-04F7-A0DB-519724C43DEA
Firmware Version,
Sensor Position,quadVLRight
Initial TSI,68.18
Initial HBDiff,13.55
Initial o2Hb,11.90
Initial HHb,-1.47
Tsi Var,25.0
Filter Id,1
MSS Avg,1
TSI Min,56.99
TSI Max,70.65
TSI Avg,67.99
,,,Train.Red FYER 1258,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,68.21,13.53,0,2,68.49,0.08,0.18,10.51,13.45
0.12,0,,68.32,13.51,0,2,68.41,0.14,0.14,10.53,13.55
0.21,0,,68.42,13.53,0,2,68.54,0.20,0.12,10.57,13.63
0.36,0,,68.43,13.58,0,2,68.03,0.25,0.14,10.64,13.66
0.42,0,,68.31,13.64,0,2,68.17,0.23,0.14,10.62,13.64
0.51,0,,68.15,13.64,0,2,67.89,0.15,0.15,10.55,13.55
0.60,0,,68.10,13.61,0,2,68.59,0.16,0.17,10.58,13.54
0.72,0,,68.24,13.58,0,2,68.53,0.25,0.16,10.66,13.64
0.84,0,,68.45,13.60,0,2,68.60,0.25,0.15,10.65,13.65
0.90,0,,68.51,13.62,0,2,68.06,0.18,0.17,10.60,13.56
1.02,0,,68.39,13.61,0,1,68.32,0.21,0.18,10.64,13.58
1.11,0,,68.31,13.60,1,0,68.44,0.27,0.15,10.67,13.67
1.20,0,,68.38,13.62,0,1,68.75,0.26,0.15,10.66,13.66
1.35,0,,68.49,13.65,0,1,68.26,0.20,0.13,10.58,13.62
1.41,0,,68.55,13.65,0,2,68.95,0.19,0.15,10.59,13.59
1.50,0,,68.59,13.63,0,2,68.22,0.27,0.17,10.69,13.65
1.59,0,,68.44,13.64,0,1,67.78,0.28,0.15,10.68,13.68
1.71,0,,68.19,13.65,1,0,68.34,0.22,0.17,10.64,13.60
1.86,0,,68.10,13.65,2,-1,68.14,0.23,0.14,10.62,13.64
1.89,0,,68.11,13.63,2,-1,68.07,0.21,0.17,10.63,13.59
2.01,0,,68.15,13.61,4,-2,68.39,0.28,0.25,10.78,13.58
2.10,0,,68.25,13.61,4,-2,68.43,0.35,0.17,10.77,13.73
2.19,0,,68.33,13.65,4,-2,68.19,0.26,0.15,10.66,13.66
2.34,0,,68.33,13.67,2,-1,68.30,0.28,0.19,10.72,13.64
2.40,0,,68.31,13.69,2,-1,68.40,0.39,0.11,10.75,13.83
2.49,0,,68.36,13.75,1,0,68.51,0.43,0.08,10.76,13.90
2.61,0,,68.42,13.84,1,0,68.42,0.45,0.10,10.80,13.90
2.70,0,,68.39,13.91,0,2,67.94,0.48,0.09,10.82,13.94
2.79,0,,68.36,13.95,0,1,69.10,0.57,0.10,10.92,14.02
2.91,0,,68.55,14.01,0,1,68.77,0.73,0.09,11.07,14.19
3.00,0,,68.69,14.09,0,1,68.26,0.72,0.13,11.10,14.14
3.09,0,,68.61,14.13,0,2,68.51,0.62,0.16,11.03,14.01
3.21,0,,68.49,14.11,0,2,68.44,0.68,0.15,11.08,14.08
3.36,0,,68.44,14.09,0,1,68.48,0.76,0.21,11.22,14.10
3.39,0,,68.46,14.09,0,1,68.56,0.75,0.21,11.21,14.09
3.51,0,,68.46,14.10,1,0,68.19,0.73,0.11,11.09,14.17
3.60,0,,68.47,14.14,1,0,69.00,0.70,-0.02,10.93,14.27
3.69,0,,68.58,14.21,1,0,68.47,0.60,-0.13,10.72,14.28
3.84,0,,68.60,14.24,2,-1,68.33,0.34,-0.22,10.37,14.11
3.90,0,,68.41,14.18,2,-1,67.79,-0.04,-0.39,9.82,13.90
3.99,0,,68.18,14.03,2,-1,68.39,-0.26,-0.54,9.45,13.83
4.11,0,,68.09,13.91,2,-1,67.89,-0.41,-0.76,9.08,13.90
4.20,0,,68.08,13.87,4,-2,68.34,-0.61,-1.02,8.62,13.96
4.29,0,,68.11,13.92,4,-2,67.99,-0.31,-0.92,9.02,14.16
4.41,0,,68.13,14.04,4,-2,68.23,-0.09,-0.74,9.42,14.20
