Train.Red Export for,Jinwei wingate 3/18/2026
-------------------------------------------------------------
Measurement Date,2026-03-18T11:57:04.870423
Type,free
Sport,strength
Focus,perform
Number of Sensors,1
Samples,10651
Measurement Duration,17:44
Distance,0 m
MSS Avg,4.00
TSI Min,61.67
TSI Max,71.75
TSI Avg,70.01

Muscle states
Rest,05:05
Easy,07:31
Medi,03:43
Hard,00:00
Load,01:23



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1258
Mac Address,DCC48916-4672-04F7-A0DB-519724C43DEA
Firmware Version,
Sensor Position,quadVLRight
Initial TSI,71.15
Initial HBDiff,8.64
Initial o2Hb,0.70
Initial HHb,-7.85
Tsi Var,25.0
Filter Id,1
MSS Avg,4
TSI Min,61.67
TSI Max,71.75
TSI Avg,70.01
,,,Train.Red FYER 1258,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.00,0,,71.16,8.62,0,2,71.27,-0.02,0.05,-7.17,8.53
0.09,0,,71.22,8.59,0,2,71.37,-0.03,0.00,-7.23,8.57
0.21,0,,71.20,8.57,0,2,70.61,0.01,0.04,-7.15,8.57
0.30,0,,71.04,8.56,0,2,71.01,-0.00,0.03,-7.17,8.57
0.39,0,,70.92,8.57,0,2,70.97,-0.06,-0.03,-7.29,8.57
0.51,0,,70.96,8.57,0,2,71.31,-0.02,0.01,-7.21,8.57
0.66,0,,71.08,8.59,0,2,71.07,0.07,-0.01,-7.14,8.68
0.69,0,,71.15,8.62,0,2,71.14,0.02,0.00,-7.18,8.62
0.81,0,,71.19,8.64,0,2,71.41,-0.00,-0.01,-7.21,8.61
0.90,0,,71.16,8.64,0,2,70.46,0.06,-0.03,-7.17,8.69
0.99,0,,71.01,8.65,1,0,71.27,0.03,-0.01,-7.18,8.64
1.14,0,,70.96,8.65,1,0,70.98,-0.02,-0.01,-7.23,8.59
1.20,0,,71.04,8.64,1,0,71.29,0.05,0.03,-7.12,8.62
1.29,0,,71.15,8.64,0,1,71.28,0.34,0.18,-6.68,8.76
1.41,0,,71.19,8.71,0,1,70.82,0.57,0.29,-6.34,8.88
1.50,0,,71.13,8.80,1,0,71.29,0.53,0.28,-6.39,8.85
1.59,0,,71.06,8.87,1,0,70.70,0.66,0.33,-6.21,8.93
1.71,0,,71.00,8.92,2,-1,71.26,0.82,0.41,-5.97,9.01
1.80,0,,71.00,8.95,1,0,70.87,0.66,0.40,-6.14,8.86
1.89,0,,71.00,8.93,0,2,71.03,0.48,0.26,-6.46,8.82
2.01,0,,70.99,8.87,1,0,70.97,0.28,0.09,-6.83,8.79
2.16,0,,70.96,8.81,1,0,70.77,0.15,0.04,-7.01,8.71
2.19,0,,70.91,8.76,1,0,71.02,0.14,-0.02,-7.08,8.76
2.31,0,,70.95,8.74,2,-1,71.28,0.05,-0.09,-7.24,8.74
2.40,0,,71.07,8.73,2,-1,71.01,-0.03,-0.11,-7.34,8.68
2.49,0,,71.15,8.73,2,-1,71.34,0.11,-0.12,-7.21,8.83
2.64,0,,71.23,8.78,1,0,71.32,0.36,0.04,-6.80,8.92
2.70,0,,71.30,8.87,0,1,71.34,0.69,0.25,-6.26,9.04
2.79,0,,71.37,9.05,0,2,71.56,1.32,0.26,-5.62,9.66
2.91,0,,71.45,9.43,0,2,71.50,2.04,0.33,-4.83,10.31
3.00,0,,71.51,9.95,0,2,71.57,2.63,0.62,-3.95,10.61
3.09,0,,71.60,10.42,0,2,71.93,2.92,0.75,-3.53,10.77
3.21,0,,71.74,10.66,0,2,71.85,2.20,0.42,-4.58,10.38
3.30,0,,71.74,10.53,0,2,71.05,1.01,0.01,-6.18,9.60
3.39,0,,71.49,10.03,0,2,71.06,0.23,-0.11,-7.08,8.94
