Train.Red Export for;Yann Session ;;;;;;;;;;
-------------------------------------------------------------;;;;;;;;;;;
Measurement Date;2026-01-16T11:30:54.642185;;;;;;;;;;
Type;free;;;;;;;;;;
Sport;endurance;;;;;;;;;;
Focus;perform;;;;;;;;;;
Number of Sensors;1;;;;;;;;;;
Samples;22138;;;;;;;;;;
Measurement Duration;37:01:00;;;;;;;;;;
Distance;0 m;;;;;;;;;;
MSS Avg;17.00;;;;;;;;;;
TSI Min;63.61;;;;;;;;;;
TSI Max;77.26;;;;;;;;;;
TSI Avg;72.32;;;;;;;;;;
;;;;;;;;;;;
Muscle states;;;;;;;;;;;
Rest;02:24;;;;;;;;;;
Easy;25:21:00;;;;;;;;;;
Medi;07:58;;;;;;;;;;
Hard;01:05;;;;;;;;;;
Load;00:11;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Sensor 1;Train.Red FYER;;;;;;;;;;
-------------------------------------------------------------;;;;;;;;;;;
Sensor DataType;expertV13;;;;;;;;;;
Sensor ID;Train.Red FYER 1225;;;;;;;;;;
Mac Address;54268916-C7BE-7C6A-A05B-1E880B74AEE2;;;;;;;;;;
Firmware Version;;;;;;;;;;;
Sensor Position;quadVLRight;;;;;;;;;;
Initial TSI;74.97;;;;;;;;;;
Initial HBDiff;12.83;;;;;;;;;;
Initial o2Hb;10.90;;;;;;;;;;
Initial HHb;-0.71;;;;;;;;;;
Tsi Var;12.0;;;;;;;;;;
Filter Id;6;;;;;;;;;;
MSS Avg;17;;;;;;;;;;
TSI Min;63.61;;;;;;;;;;
TSI Max;77.26;;;;;;;;;;
TSI Avg;72.32;;;;;;;;;;
;;;Train.Red FYER 1225;;;;;;;;
Timestamp (seconds passed);Lap/Event;;SmO2;HBDiff;Muscle state;Muscle trend;SmO2 unfiltered;O2HB unfiltered;HHb unfiltered;THb unfiltered;HBDiff unfiltered
0.00;0;;74,97;12,82;0;2;73,46;2,15;1,21;12,34;13,76
0.12;0;;74,96;12,83;0;2;74,19;2,39;1,45;12,82;13,76
0.21;0;;74,95;12,84;0;2;73,95;2,43;1,48;12,89;13,77
0.30;0;;74,93;12,85;0;2;74,12;2,28;1,47;12,73;13,63
0.42;0;;74,91;12,87;0;2;73,99;2,21;1,5;12,69;13,53
0.51;0;;74,89;12,89;0;2;74,09;2,21;1,39;12,58;13,64
0.60;0;;74,86;12,91;0;2;73,45;2,16;1,35;12,49;13,63
0.72;0;;74,83;12,94;0;2;74,13;2,13;1,36;12,47;13,59
0.87;0;;74,8;12,96;0;2;73,47;2,03;1,37;12,38;13,48
0.90;0;;74,76;12,99;0;2;73,89;2,02;1,39;12,39;13,45
1.02;0;;74,73;13,01;0;2;74,74;2,08;1,41;12,47;13,49
1.11;0;;74,69;13,04;0;2;73,91;2,06;1,44;12,48;13,44
1.20;0;;74,66;13,06;0;2;74,18;2,13;1,44;12,55;13,51
1.35;0;;74,62;13,09;0;2;74;2,16;1,41;12,55;13,57
1.41;0;;74,59;13,12;0;2;74,3;2,06;1,33;12,37;13,55
1.50;0;;74,56;13,14;0;2;73,62;2,07;1,34;12,39;13,55
1.62;0;;74,52;13,17;0;2;74,53;2,06;1,41;12,45;13,47
1.71;0;;74,49;13,19;0;2;73,78;2,08;1,41;12,47;13,49
1.80;0;;74,46;13,21;0;2;74,19;2,21;1,45;12,64;13,58
1.92;0;;74,43;13,24;0;2;73,6;2,26;1,48;12,72;13,6
2.01;0;;74,4;13,26;0;2;74,2;2,29;1,53;12,8;13,58
2.10;0;;74,37;13,28;0;2;73,54;2,34;1,57;12,89;13,59
2.22;0;;74,34;13,3;0;2;73,53;2,35;1,59;12,92;13,58
2.37;0;;74,31;13,33;0;2;74,23;2,75;1,54;13,27;14,03
2.40;0;;74,28;13,35;0;2;73,69;3,49;1,34;13,81;14,97
2.52;0;;74,25;13,38;0;2;73,33;3,55;1,33;13,86;15,04
2.61;0;;74,22;13,42;0;2;73,06;3,39;1,44;13,81;14,77
2.70;0;;74,18;13,46;0;2;73,52;3,58;1,34;13,9;15,06
2.79;0;;74,14;13,5;0;2;73,49;3,51;1,32;13,81;15,01
2.91;0;;74,11;13,55;0;2;73,84;3,49;1,39;13,86;14,92
3.00;0;;74,08;13,61;0;2;74,82;3,63;1,42;14,03;15,03
3.12;0;;74,05;13,66;0;2;74,06;3,66;1,44;14,08;15,04
3.21;0;;74,03;13,72;0;2;74,15;3,85;1,31;14,14;15,36
3.30;0;;74,01;13,78;0;2;73,13;4,03;1,22;14,23;15,63
3.39;0;;73,98;13,85;4;-2;73,31;3,6;1,88;14,46;14,54
3.51;0;;73,96;13,91;4;-2;73,32;3,21;2,47;14,66;13,56
3.60;0;;73,93;13,96;4;-2;73,46;3,48;2,22;14,68;14,08
3.69;0;;73,91;14,01;4;-2;73,4;3,66;2,02;14,66;14,46
3.87;0;;73,88;14,06;4;-2;73,31;3,64;2,04;14,66;14,42
3.90;0;;73,86;14,1;4;-2;72,75;3,51;2,3;14,79;14,03
3.99;0;;73,83;14,14;4;-2;72,88;3,42;2,46;14,86;13,78
4.11;0;;73,79;14,17;4;-2;73,54;3,56;2,28;14,82;14,1
4.20;0;;73,76;14,2;4;-2;73,69;3,7;2,18;14,86;14,34
4.29;0;;73,74;14,23;4;-2;73,55;3,85;2,11;14,94;14,56
4.41;0;;73,71;14,25;0;2;73,5;3,64;2,41;15,03;14,05
4.50;0;;73,69;14,27;0;2;73,53;3,59;2,51;15,08;13,9
4.62;0;;73,66;14,29;0;2;72,76;3,8;2,33;15,11;14,29
4.71;0;;73,64;14,31;0;2;73,99;3,84;2,33;15,15;14,33
4.80;0;;73,62;14,32;0;2;73,46;4,01;2,18;15,17;14,65
4.89;0;;73,6;14,34;0;2;73,36;3,9;2,43;15,31;14,29
5.01;0;;73,58;14,35;0;2;73,43;3,85;2,54;15,37;14,13
5.10;0;;73,56;14,36;0;2;73,33;4,12;2,36;15,46;14,58
5.19;0;;73,54;14,37;0;2;73,52;4,15;2,34;15,47;14,63
5.37;0;;73,53;14,38;0;2;73,51;4,19;2,15;15,32;14,86
5.43;0;;73,51;14,39;0;2;73,7;4,05;2,46;15,49;14,41
5.49;0;;73,5;14,4;0;2;74,02;4,02;2,64;15,64;14,2
5.61;0;;73,49;14,41;3;1;73,79;4,22;2,45;15,65;14,59
5.70;0;;73,49;14,42;4;-2;73,46;4,27;2,41;15,66;14,68
5.79;0;;73,49;14,43;4;-2;73,54;4,35;2,25;15,58;14,92
5.91;0;;73,48;14,44;0;2;73,99;4,16;2,6;15,74;14,38
6.00;0;;73,48;14,45;0;2;72,36;4,1;2,78;15,86;14,14
6.12;0;;73,48;14,46;0;2;73,99;4,24;2,56;15,78;14,5
6.21;0;;73,47;14,46;4;-2;73,41;4,26;2,53;15,77;14,55
6.30;0;;73,47;14,47;4;-2;73,23;4,35;2,39;15,72;14,78
6.39;0;;73,46;14,47;4;-2;73,2;4,2;2,69;15,87;14,33
6.51;0;;73,46;14,48;4;-2;73,22;4,11;2,82;15,91;14,11
6.60;0;;73,45;14,48;4;-2;73,46;4,2;2,62;15,8;14,4
6.69;0;;73,45;14,49;4;-2;73,26;4,19;2,52;15,69;14,49
6.87;0;;73,44;14,49;4;-2;73,81;4,27;2,33;15,58;14,76
6.90;0;;73,44;14,49;4;-2;73,65;4,11;2,68;15,77;14,25
6.99;0;;73,44;14,49;4;-2;73,22;3,98;2,82;15,78;13,98
7.11;0;;73,43;14,49;4;-2;73,51;4,06;2,64;15,68;14,24
7.20;0;;73,43;14,49;4;-2;73,33;4,1;2,6;15,68;14,32
7.29;0;;73,43;14,48;4;-2;73,6;4,13;2,41;15,52;14,54
7.41;0;;73,43;14,48;4;-2;72,93;3,87;2,73;15,58;13,96
7.50;0;;73,42;14,47;4;-2;73,44;3,73;2,82;15,53;13,73
7.62;0;;73,42;14,46;4;-2;73,36;3,8;2,53;15,31;14,09
7.71;0;;73,42;14,45;4;-2;73,92;3,86;2,49;15,33;14,19
7.80;0;;73,42;14,44;4;-2;74,2;3,98;2,33;15,29;14,47
7.89;0;;73,42;14,43;4;-2;74,24;3,78;2,63;15,39;13,97
8.04;0;;73,43;14,42;4;-2;73,59;3,72;2,81;15,51;13,73
8.10;0;;73,44;14,41;4;-2;73,48;3,87;2,61;15,46;14,08
8.19;0;;73,45;14,39;4;-2;73,61;3,96;2,53;15,47;14,25
8.37;0;;73,46;14,38;4;-2;73,66;4,21;2,35;15,54;14,68
8.40;0;;73,47;14,37;4;-2;74,02;4,04;2,62;15,64;14,24
8.49;0;;73,48;14,36;4;-2;73,65;3,88;2,7;15,56;14
8.61;0;;73,49;14,34;4;-2;73,04;3,93;2,48;15,39;14,27
8.70;0;;73,49;14,33;4;-2;73,43;3,96;2,5;15,44;14,28
8.79;0;;73,5;14,32;4;-2;72,85;4,15;2,43;15,56;14,54
8.91;0;;73,5;14,32;4;-2;73,73;4,01;2,76;15,75;14,07
9.00;0;;73,5;14,31;4;-2;73,09;3,98;2,88;15,84;13,92
9.12;0;;73,5;14,3;4;-2;72,86;4,11;2,71;15,8;14,22
9.21;0;;73,5;14,29;4;-2;73,1;4,19;2,7;15,87;14,31
9.30;0;;73,49;14,28;4;-2;73,2;4,42;2,51;15,91;14,73
9.39;0;;73,49;14,28;4;-2;72,98;4,32;2,81;16,11;14,33
9.51;0;;73,48;14,27;4;-2;74,1;4,28;2,94;16,2;14,16
9.60;0;;73,47;14,27;4;-2;73,69;4,41;2,69;16,08;14,54
9.69;0;;73,47;14,27;4;-2;72,87;4,42;2,7;16,1;14,54
9.87;0;;73,47;14,27;4;-2;73,91;4,51;2,57;16,06;14,76
9.90;0;;73,46;14,27;2;-1;73,71;4,08;2,92;15,98;13,98
9.99;0;;73,46;14,27;2;-1;73,3;3,52;3,25;15,75;13,09
10.11;0;;73,46;14,26;2;-1;74,28;3,67;3,02;15,67;13,47
10.20;0;;73,46;14,25;2;-1;73,56;3,88;2,83;15,69;13,87
10.29;0;;73,47;14,24;2;-1;73,53;3,8;2,75;15,53;13,87
10.41;0;;73,47;14,23;2;-1;73,03;3,57;3,08;15,63;13,31
10.50;0;;73,47;14,21;2;-1;73,61;3,55;3,18;15,71;13,19
10.62;0;;73,47;14,19;2;-1;73,88;3,73;2,95;15,66;13,6
10.71;0;;73,47;14,17;2;-1;73,62;3,78;2,93;15,69;13,67
10.80;0;;73,48;14,14;2;-1;73,81;3,9;2,78;15,66;13,94
10.89;0;;73,48;14,12;2;-1;73,51;3,79;3,09;15,86;13,52
11.01;0;;73,49;14,1;2;-1;73,66;3,64;3,26;15,88;13,2
11.10;0;;73,49;14,07;2;-1;73,12;3,83;3,04;15,85;13,61
11.19;0;;73,5;14,05;2;-1;73,73;3,96;3,05;15,99;13,73
11.37;0;;73,5;14,02;2;-1;73,03;3,96;2,88;15,82;13,9
11.40;0;;73,5;14;2;-1;73,91;3,75;3,1;15,83;13,47
11.49;0;;73,5;13,98;2;-1;73,58;3,68;3,2;15,86;13,3
11.61;0;;73,51;13,95;2;-1;73,68;3,72;2,97;15,67;13,57
11.70;0;;73,51;13,93;2;-1;73,72;3,81;2,88;15,67;13,75
11.79;0;;73,52;13,9;2;-1;73,38;4;2,63;15,61;14,19
11.91;0;;73,52;13,88;2;-1;73,69;3,85;2,95;15,78;13,72
12.00;0;;73,52;13,87;2;-1;73,5;3,84;3,16;15,98;13,5
12.12;0;;73,53;13,85;2;-1;73,53;3,98;2,9;15,86;13,9
12.21;0;;73,53;13,83;1;0;73,39;4,04;2,91;15,93;13,95
12.30;0;;73,53;13,82;1;0;72,97;4,07;2,84;15,89;14,05
12.39;0;;73,53;13,81;1;0;73,97;3,68;3,07;15,73;13,43
12.51;0;;73,53;13,79;1;0;73,55;3,67;3,16;15,81;13,33
12.60;0;;73,53;13,78;1;0;73,82;3,95;3,02;15,95;13,75
12.69;0;;73,54;13,77;1;0;73,34;4;3,12;16,1;13,7
12.87;0;;73,54;13,76;1;0;73,71;4,1;3,02;16,1;13,9
12.90;0;;73,54;13,75;1;0;73,33;3,89;3,28;16,15;13,43
12.99;0;;73,54;13,74;1;0;74,1;3,8;3,41;16,19;13,21
13.11;0;;73,54;13,72;1;0;73,87;3,83;3,25;16,06;13,4
13.20;0;;73,55;13,71;1;0;73,26;3,79;3,17;15,94;13,44
13.29;0;;73,55;13,7;1;0;73,56;3,92;2,94;15,84;13,8
13.41;0;;73,56;13,69;1;0;73,96;3,68;3,21;15,87;13,29
13.50;0;;73,56;13,67;1;0;73,41;3,57;3,31;15,86;13,08
13.62;0;;73,56;13,66;1;0;73,64;3,64;3,16;15,78;13,3
13.71;0;;73,57;13,65;1;0;73,41;3,66;3,13;15,77;13,35
13.80;0;;73,57;13,63;1;0;73,74;3,84;2,89;15,71;13,77
13.89;0;;73,57;13,62;1;0;73,76;3,61;3,2;15,79;13,23
14.01;0;;73,58;13,6;1;0;73,26;3,69;3,09;15,76;13,42
14.10;0;;73,58;13,59;1;0;73,36;3,92;2,79;15,69;13,95
14.19;0;;73,58;13,58;1;0;73,23;3,72;3,13;15,83;13,41
